id,web_name,team,element_type,now_cost,total_points,form,ict_index,influence,creativity,threat,minutes,expected_goals,expected_assists,expected_goal_involvements,saves,clean_sheets,next_3_gw_fixtures
385,Rashford,2,3,6.7,83,4.5,102.3,348.0,379.1,294.0,1267,3.06,3.25,6.31,0,6,2.6666666666666665
598,Bogarde,2,2,3.9,6,0.0,13.3,84.8,33.3,15.0,473,0.04,0.13,0.17,0,0,2.6666666666666665
640,Swinkels,2,2,4.0,0,0.0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0,0,2.6666666666666665
641,Zych,2,1,4.0,0,0.0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0,0,2.6666666666666665
656,Young,2,3,4.4,0,0.0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0,0,2.6666666666666665
679,Broggio,2,3,4.5,0,0.0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0,0,2.6666666666666665
710,Jimoh,2,3,4.5,0,0.0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0,0,2.6666666666666665
725,Malen,2,3,5.3,23,8.0,23.6,91.8,18.0,127.0,231,1.33,0.04,1.37,0,0,2.6666666666666665
731,A. Garcia,2,2,4.5,7,0.5,11.5,41.6,67.3,7.0,311,0.04,0.49,0.53,0,0,2.6666666666666665
737,Emery,2,5,0.8,55,9.5,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0,0,2.6666666666666665
762,M.Asensio,2,3,6.2,32,6.5,37.7,146.8,77.5,152.0,302,2.12,0.19,2.31,0,0,2.6666666666666665
59,Aarons,3,2,4.3,8,0.0,1.7,13.2,3.2,0.0,84,0.00,0.01,0.01,0,1,3.3333333333333335
60,Adams,3,3,4.9,44,1.7,55.9,322.2,184.3,51.0,1374,0.87,0.41,1.28,0,3,3.3333333333333335
61,Anthony,3,3,4.5,0,0.0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0,0,3.3333333333333335
62,Brooks,3,3,4.9,45,1.0,63.3,165.0,239.7,235.0,777,2.20,1.62,3.82,0,2,3.3333333333333335
63,Christie,3,3,4.9,76,1.0,139.6,514.0,576.8,303.0,2114,2.14,2.90,5.04,0,8,3.3333333333333335
64,Cook,3,3,5.0,75,3.0,133.4,539.8,682.9,111.0,2571,0.87,3.63,4.50,0,4,3.3333333333333335
65,Enes Ünal,3,4,5.4,32,0.0,35.9,104.0,56.1,207.0,330,2.73,0.26,2.99,0,2,3.3333333333333335
66,Faivre,3,3,5.0,0,0.0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0,0,3.3333333333333335
67,H.Traorè,3,3,4.5,0,0.0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0,0,3.3333333333333335
68,Hill,3,2,3.9,17,0.3,16.6,97.0,38.4,29.0,443,0.29,0.25,0.54,0,1,3.3333333333333335
69,Jebbison,3,4,4.5,10,1.0,9.7,21.0,37.8,38.0,65,0.21,0.12,0.33,0,0,3.3333333333333335
70,Kerkez,3,2,5.3,107,2.0,128.1,606.6,472.0,203.0,2717,0.52,2.03,2.55,0,6,3.3333333333333335
71,Kluivert,3,3,6.1,147,0.7,196.6,680.4,591.6,692.0,1934,9.58,3.13,12.71,0,10,3.3333333333333335
72,Mepham,3,2,4.4,0,0.0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0,0,3.3333333333333335
74,O.Dango,3,3,4.9,103,1.7,162.2,554.8,399.7,671.0,1677,7.77,2.86,10.63,0,5,3.3333333333333335
75,Paulsen,3,1,4.0,0,0.0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0,0,3.3333333333333335
76,Philip,3,3,4.8,10,0.0,20.4,54.0,102.4,47.0,176,0.55,0.97,1.52,0,0,3.3333333333333335
77,Scott,3,3,4.7,18,1.0,28.7,104.0,102.1,80.0,494,0.47,0.45,0.92,0,1,3.3333333333333335
78,Semenyo,3,3,5.7,119,3.0,224.0,601.0,586.6,1060.0,2645,8.42,4.01,12.43,0,7,3.3333333333333335
79,Senesi,3,2,4.6,23,0.7,35.3,241.0,81.1,29.0,962,0.81,0.46,1.27,0,1,3.3333333333333335
80,Sinisterra,3,3,4.8,23,0.3,42.3,112.0,115.3,195.0,229,1.18,1.29,2.47,0,0,3.3333333333333335
81,Smith,3,2,4.4,36,0.7,22.2,128.8,87.8,8.0,1143,0.60,0.14,0.74,0,3,3.3333333333333335
83,Tavernier,3,3,5.4,72,0.3,131.3,392.4,532.0,389.0,1500,5.17,2.48,7.65,0,3,3.3333333333333335
84,Travers,3,1,4.4,19,0.0,14.6,146.4,0.0,0.0,450,0.00,0.01,0.01,20,1,3.3333333333333335
85,Zabarnyi,3,2,4.4,67,1.0,70.6,515.0,137.8,51.0,2527,0.98,0.47,1.45,0,6,3.3333333333333335
152,Arrizabalaga,3,1,4.6,74,1.0,59.4,580.8,10.4,4.0,2160,0.06,0.02,0.08,78,5,3.3333333333333335
580,Huijsen,3,2,4.5,75,1.7,95.5,623.0,176.8,155.0,1870,1.63,1.45,3.08,0,5,3.3333333333333335
592,J.Araujo,3,2,4.3,8,0.0,5.1,40.0,7.9,2.0,352,0.00,0.04,0.04,0,0,3.3333333333333335
599,Dennis,3,1,3.9,0,0.0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0,0,3.3333333333333335
617,Evanilson,3,4,5.8,110,7.7,145.6,394.8,264.1,801.0,1720,10.21,1.44,11.65,0,8,3.3333333333333335
